Stock quote and option quote for SPY on 5/1/20 13:52:46

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
281.8002,D,-8.6798,281.80,Q,281.82,Q,6 x 15,"75,391,486",285.31,286.04,281.52

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
150,2.00%,<empty>,1.406,Q,3/20/20,339.08,218.26,0,.9794

Theo parameters
Theo date,Theo stock price,Theo volatility
1/3/21, 0.00$, 0.00%

1 MAY 20  (0)  100 (Weeklys)
,,Option Code,LAST,LX,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,,
,,SPY200501C238,43.85,E,1.00,-8.95,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,30,-.0052,.00,--,43.8002,43.85,43.795,43.75,I,43.84,I,1 MAY 20,238,0,B,.01,W,SPY200501P238,.01,M,.00,-.01,10,0.14%,99.86%,0.27%,.00,0,.00,.00,10,"2,267",.005,.00,104.94%,0,0,.005,,
,,SPY200501C239,50.64,I,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,221,-.0052,.00,--,42.8002,0,42.795,42.75,I,42.84,I,1 MAY 20,239,0,B,.01,W,SPY200501P239,.01,W,.00,0,25,0.14%,99.86%,0.27%,.00,0,-.01,.00,25,"1,769",.005,.00,102.49%,0,0,.005,,
,,SPY200501C240,41.83,E,1.00,-7.77,20,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,20,379,-.0102,.00,--,41.8002,45.00,41.790,41.75,I,41.83,I,1 MAY 20,240,0,A,.01,W,SPY200501P240,.01,I,.00,0,9,0.14%,99.86%,0.28%,.00,0,-.01,.00,9,"54,343",.005,.00,100.05%,0,.01,.005,,
,,SPY200501C241,46.14,Z,1.00,+8.10,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,111,-.0252,.00,--,40.8002,0,40.775,40.71,Q,40.84,E,1 MAY 20,241,0,B,.01,W,SPY200501P241,.01,B,.00,0,0,0.14%,99.86%,0.28%,.00,0,-.01,.00,0,"5,243",.005,.00,97.62%,0,0,.005,,
,,SPY200501C242,42.46,I,1.00,-5.33,11,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,11,362,-.0102,.00,--,39.8002,43.10,39.790,39.75,I,39.83,I,1 MAY 20,242,0,A,.01,W,SPY200501P242,.01,C,.00,-.01,221,0.15%,99.85%,0.29%,.00,0,.00,.00,221,"6,767",.005,.00,95.19%,0,0,.005,,
,,SPY200501C242.5,47.51,E,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,97,-.0202,.00,--,39.3002,0,39.280,39.20,E,39.36,E,1 MAY 20,242.5,0,Z,.01,W,SPY200501P242.5,.02,Z,.00,0,18,0.15%,99.85%,0.29%,.00,0,.00,.00,18,"1,330",.005,.00,93.98%,0,0,.005,,
,,SPY200501C243,46.43,I,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,119,-.0052,.00,--,38.8002,0,38.795,38.71,Q,38.88,Q,1 MAY 20,243,0,B,.01,W,SPY200501P243,.01,M,.00,-.01,1,0.15%,99.85%,0.29%,.00,0,.00,.00,1,"1,122",.005,.00,92.77%,0,0,.005,,
,,SPY200501C244,40.86,I,1.00,-5.28,10,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,10,252,-.0052,.00,--,37.8002,40.86,37.795,37.75,I,37.84,E,1 MAY 20,244,0,B,.01,W,SPY200501P244,.01,D,.00,-.01,1,0.15%,99.85%,0.30%,.00,0,.00,.00,1,"1,245",.005,.00,90.35%,0,0,.005,,
,,SPY200501C245,39.72,I,1.00,-4.64,13,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,13,531,-.0052,.00,--,36.8002,40.90,36.795,36.71,Q,36.88,Q,1 MAY 20,245,0,A,.01,W,SPY200501P245,.01,E,.00,0,8,0.16%,99.84%,0.31%,.00,0,-.01,.00,8,"10,263",.005,.00,87.94%,0,.01,.005,,
,,SPY200501C246,36.41,I,1.00,-7.04,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,288,-.0052,.00,--,35.8002,36.41,35.795,35.75,I,35.84,E,1 MAY 20,246,0,Z,.01,W,SPY200501P246,.01,M,.00,-.01,4,0.16%,99.84%,0.31%,.00,0,.00,.00,4,"1,231",.005,.00,85.54%,0,0,.005,,
