Stock quote and option quote for SPY on 7/1/20 11:27:13

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
309.756,D,+1.396,309.73,Q,309.75,Z,8 x 1,"26,811,767",309.57,311.26,309.30

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
100,1.76%,<empty>,1.366,Q,6/19/20,339.08,218.26,0,1.001

Theo parameters
Theo date,Theo stock price,Theo volatility
12/30/20, 0.00$, 0.00%

1 JUL 20  (0)  100 (Weeklys)
Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,BX,ASK,AX,,,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,,
SPY200701C287,18.15,A,-6.59,10,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,10,17,-.095,.00,--,22.75,22.52,Q,22.79,Q,,,1 JUL 20,287,0,A,.01,W,SPY200701P287,.03,Z,0,0,0.23%,99.77%,0.44%,.00,0,-.01,.00,0,"1,278",.005,.00,50.07%,0,,
SPY200701C288,22.05,C,+8.34,20,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,20,39,-.105,.00,--,21.75,21.50,Z,21.79,Z,,,1 JUL 20,288,.04,P,.01,W,SPY200701P288,.01,E,-.02,10,0.87%,99.13%,1.69%,.00,0,-.02,.00,10,"2,269",.025,.00,56.82%,0,,
SPY200701C289,13.73,Z,-2.44,2,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,2,11,-.03,.00,--,20.75,20.60,Q,20.84,Q,,,1 JUL 20,289,0,T,.01,W,SPY200701P289,.01,A,-.03,23,0.24%,99.76%,0.48%,.00,0,.00,.00,23,"6,035",.005,.00,45.82%,0,,
SPY200701C290,20.37,A,+2.61,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,377,-.10,.00,--,19.75,19.55,Q,19.75,I,,,1 JUL 20,290,0,B,.01,W,SPY200701P290,.01,X,-.04,30,0.25%,99.75%,0.50%,.00,0,.00,.00,30,"16,654",.005,.00,43.69%,0,,
SPY200701C291,11.87,C,+1.13,33,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,33,78,-.035,.00,--,18.75,18.59,Z,18.84,Z,,,1 JUL 20,291,0,T,.01,W,SPY200701P291,.01,A,-.04,124,0.27%,99.73%,0.52%,.00,0,-.01,.00,124,"1,893",.005,.00,41.56%,0,,
SPY200701C292,16.33,Q,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,457,-.035,.00,--,17.75,17.63,Z,17.80,Q,,,1 JUL 20,292,0,J,.01,W,SPY200701P292,.01,B,-.04,19,0.28%,99.72%,0.54%,.00,0,-.01,.00,19,"4,858",.005,.00,39.43%,0,,
SPY200701C293,17.65,Z,+4.90,2,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,2,98,-.13,.00,--,16.75,16.50,Z,16.74,Z,,,1 JUL 20,293,0,B,.01,W,SPY200701P293,.01,X,-.04,113,0.29%,99.71%,0.57%,.00,0,.00,.00,113,"2,251",.005,.00,37.30%,0,,
SPY200701C294,16.42,A,+2.08,28,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,28,332,-.08,.00,--,15.75,15.56,Q,15.78,Z,,,1 JUL 20,294,0,B,.01,W,SPY200701P294,.01,C,-.05,58,0.31%,99.69%,0.60%,.00,0,.00,.00,58,"2,608",.005,.00,35.17%,0,,
SPY200701C295,15.15,C,+1.43,30,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,30,980,-.06,.00,--,14.75,14.49,Q,14.89,W,,,1 JUL 20,295,0,B,.01,W,SPY200701P295,.01,C,-.05,243,0.32%,99.68%,0.63%,.00,0,.00,.00,243,"20,141",.005,.00,33.03%,0,,
SPY200701C296,14.18,C,+1.88,4,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,4,436,-.095,.00,--,13.75,13.52,Q,13.79,Q,,,1 JUL 20,296,0,M,.01,W,SPY200701P296,.01,C,-.07,325,0.34%,99.66%,0.67%,.00,0,.00,.00,325,"4,373",.005,.00,30.89%,0,,
SPY200701C297,13.32,A,+1.81,2,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,2,867,-.085,.00,--,12.75,12.59,Z,12.74,Z,,,1 JUL 20,297,0,M,.01,H,SPY200701P297,.01,E,-.07,563,0.37%,99.63%,0.71%,.00,0,.00,.00,563,"5,787",.005,.00,28.74%,0,,
SPY200701C298,12.96,I,+2.51,25,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,25,955,-.155,.00,--,11.75,11.47,Z,11.72,Q,,,1 JUL 20,298,.01,W,.02,W,SPY200701P298,.01,X,-.10,"7,831",0.98%,99.02%,1.88%,.00,0,-.02,.00,"7,831","5,386",.015,.01,30.24%,0,,
SPY200701C299,10.85,Z,+1.45,68,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,68,"1,463",-.18,.00,--,10.75,10.50,Q,10.64,I,,,1 JUL 20,299,.01,W,.02,W,SPY200701P299,.02,D,-.11,"1,722",1.05%,98.95%,2.02%,.00,0,-.02,.00,"1,722","6,965",.015,.01,27.83%,0,,
